Sample_name,Locus,Hash,nReads
18S-B-August-5-L2,18,dbd8a482b9074704325c176f10ad862a466ab28c,11124
18S-B-August-5-L2,18,3f5e01c435280397f04aa0c9964614c9ed14a317,682
18S-B-August-5-L2,18,3e2ef0f732acc5f84bc9f35261b32bbd4face462,444
18S-B-August-5-L2,18,cc5e7d7480f69c9e09fc5ae87b76cf0a9b858499,124
18S-B-August-5-L2,18,12e174c129933c8b7b3964cf08d86b5bd3514fce,3118
18S-B-August-5-L2,18,87a73b96d960594833b7b41ea9eadf6552eafcbf,1241
18S-B-August-5-L2,18,2eb6b38b54303b28a1ba4abe5afac3c5a621444a,6325
18S-B-August-5-L2,18,a7436bde3b68d28670f7437e81caf4e69f717771,3197
18S-B-August-5-L2,18,a0c2101a616bb802623dd7565a320c82f3eeee66,2382
18S-B-August-5-L2,18,8aa5440bb4384d4390e53dfdcf42382afee17dae,487
18S-B-August-5-L2,18,43abae187f6de4e9f04d7b7c15b11ac7b8901caf,3980
18S-B-August-5-L2,18,695ad1e845c819972c01528ffb279a07089d02c1,895
18S-B-August-5-L2,18,c0860a13693db77b252d1f2459b11bf4a8097d39,313
18S-B-August-5-L2,18,1564512fe31fb18baacc23c7f440c4a7b934fbb8,813
18S-B-August-5-L2,18,bb7bbda3248a1bd0c8d5cbabaa8d0f62c46cd919,5830
18S-B-August-5-L2,18,0341777399727bce0b4ec348721002acebe1b079,167
18S-B-August-5-L2,18,e699e72a696491c7737ac4aa19af12af704f1d1e,482
18S-B-August-5-L2,18,faa56c2df17099b1fc065ab145687d3bfa7c65d6,82
18S-B-August-5-L2,18,e82c8bd1c2327b114db0780ab4c7ffcd2d44604e,2637
18S-B-August-5-L2,18,5463798c2addea98c344c0fa3e6850a51c84481c,287
18S-B-August-5-L2,18,71703c12cac7edd8eff1dfd6d1bf0d653d71713d,329
18S-B-August-5-L2,18,9a535787a1c62465d99b875d2dd04b12e31a9b9f,1106
18S-B-August-5-L2,18,fba2fc643f67676d419fb04889d2d061597ed83c,677
18S-B-August-5-L2,18,b79322c64a50aa9e0c338d70c3823b0b1488c4ea,2999
18S-B-August-5-L2,18,b6427039f7858a0af92964078c70e91672c83d5a,124
18S-B-August-5-L2,18,ecc446e66f7604ea2c6c04853717aed7b6a7821b,84
18S-B-August-5-L2,18,a3716bb49d68b186b373e3b8d8971d33588bfdbb,564
18S-B-August-5-L2,18,059b4ac4e5881a0663c66d8e390f4b2f6a680380,624
18S-B-August-5-L2,18,18dd0dddb2fea859d7ee9a5b472b308ed1336eba,438
18S-B-August-5-L2,18,44124c3564e3a4f6a7d9ce69e42cf045ff61a916,91
18S-B-August-5-L2,18,ff3bc4e6141cd957081f6302141f4dbd5696da25,366
18S-B-August-5-L2,18,f52feb0a86571fe9ed65a98c9947fc908cac1e50,154
18S-B-August-5-L2,18,1b660a676bfb97df9c83e608b4c58fe51b5f5fb3,185
18S-B-August-5-L2,18,1056bbd85a1b3eb77d29a1e271fc19c60e736155,433
18S-B-August-5-L2,18,d181c5fcf022d4861c25771776f07bd03bbb92d3,244
18S-B-August-5-L2,18,0dfb50e545f2f577cd671e381df2f9321c61c551,66
18S-B-August-5-L2,18,b9226f5805b043dc33e1d87cc8d698f7dcf2191a,59
18S-B-August-5-L2,18,3f9144ac23935dd1733a2d0e927efcaeabcf7abc,48
