Hash	Domain	Phylum	Class	Order	Family	Genus	Species		
c77ad1a2442714704ee2f84896f0dd03a088d551	Eukaryota	Mollusca	Gastropoda	Nudibranchia	Trinchesiidae	Zelentia	Zelentia willowsi		
932e7b689b363bab369a6ed3e74ad6d628dfa572	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Zancleidae	Zanclea	Zanclea implexa		
45025e2bbce7a08978124b41923ee5b522564f9a	Eukaryota	Bryozoa	Gymnolaemata	Ctenostomatida	Vesiculariidae	Vesicularia <bryozoans>	Vesicularia spinosa		
74bd536a982117e99a75e40240e0e3b1b1f81a5c	Eukaryota	Parmales	Bolidophyceae	Parmales	Triparmaceae	Triparma	Triparma laevis		
ea2295252b406a704b791fbf299906f87312e024	Eukaryota	Parmales	Bolidophyceae	Parmales	Triparmaceae	Triparma	Triparma laevis		
5717a7d0319dce90d6c7d368d11e1a8bac105c23	Eukaryota	Mollusca	Bivalvia	Veneroida	Tridacnidae	Tridacna	Tridacna squamosa		
c6e37f22d0e88515ec04ca6a04f1b099a23faf47	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Candidae	Tricellaria	Tricellaria ternata		
2aff5914830729b034455059a28692852555378a	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum sp. SZ-18		
30f0ba89d341c120f6f89702c6b7ba2421ae1a34	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum sp. SZ-18		
4c3967f9eb26e5389f4d7df8f9b8ce30f7e69356	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum sp. SZ-18		
9f1678611347c97be9efe799ac6fe628da14e43d	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		
c2d2b7708a34aa9cdc001b6564f95afdf7a86fdc	Eukaryota	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus pallidus		
c5480077534c5828e3dcbbcd684d50f3801d9b26	Eukaryota	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus pallidus		
9e8798edbbe1de4cdc630de02c62a0450570dc03	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Stephanodiscaceae	Stephanodiscus	Stephanodiscus cf. minutulus		
e9765b30fa89c27f15474b8af5f0b1e481e962ff	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Stephanodiscaceae	Stephanodiscus	Stephanodiscus cf. minutulus		
00ca8629b17aed485edbe5e5a96b9406380ffe6a	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Stephanodiscaceae	Stephanodiscus	Stephanodiscus cf. minutulus		
bf6f70b058f45e5fe1d2d0712faaf2ffe9419a98	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema tropicum		
12a5b1a4aa8aa927757451ee264e2ac70a6236c4	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema potamos		
e0ab17b83eb30496379a9632006a81ae9483dd44	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema potamos		
efd5b1488d6647ff3d5998fdb13f315cf473203c	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema potamos		
314d8dd481c2c4e4fc3a4aee029b2ea1190aa929	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema potamos		
d48c67607e81aca5da83fa1d2b8895e6416a6607	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri		
77bdf39167ea91b04a63e2a9551d8b699b99e8b5	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri		
3ed29474ccacb2a2cddad34b0f3891577b512256	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri		
6219a0acf495c209fd6267a0aa2a114006ec9cca	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri		
4123298b8fc474dff8a185bb6680f96ee581790b	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri		
654f00018a10c194bd41bbfb8292f5d1c8e6fa8e	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri		
f82ef089a8c52d2525945f303cecce6106d02270	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri		
438c75a847607293659e3f969c7609096807d143	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri		
6d0c9b5764a9fdfbbde065ddb31c43aa70ed3e01	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri		
b31e69bdffec0c93a0d0014e9e0742d0942ee255	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri		
b2abc60c1e2f69599b8ca2ba6359b6d4d54caaa0	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Savoiea	Savoiea arctica		
a7ce885d9d5dbf80cc93cbbd8d739e5e8491195c	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Sarsia	Sarsia princeps		
41ce4557e104987935e6f6a0b09856b3b52eaf0c	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Sarsia	Sarsia princeps		
198b4c1aac31a5b22c52653f94ab6f56801a34e2	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Sarsia	Sarsia princeps		
c5d91260d7c4fa571e2ccf050a99006c880bd2dc	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	Sabellidae	Sabellidae sp. CMC02		
94fcf5fc4fb11fb4a6c899027271300d7fc6cd0a	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	Sabellidae	Sabellidae sp. CMC02		
6bbf93c0d1b294df43c21ef0187eb53217215b80	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Compositae	Rhynchosporium	Rhynchosporium orthosporum		
e758aba71a8dd93f613022ce089edb90da99d819	Eukaryota	Rhodophyta	Florideophyceae	Palmariales	Rhodophysemataceae	Rhodophysema	Rhodophysema kjellmanii		
0466946d6a1d49bbf6ec61faa83d18a0eb1d8bf1	Eukaryota	Oomycota	Oomycetes	Pythiales	Pythiaceae	Pythium	Pythium aphanidermatum		
beec82affbaca835955e54ba2c7c8c2ad10e3b77	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	Pyropia haitanensis		
6bb63fbd86cbf6ca49151fc4e477ef832fbc15e7	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella	Pylaiella washingtoniensis		
e25e7d37690856f071b10e4c192f9bebd3b24e9a	Eukaryota	Ochrophyta	Dictyochophyceae	Pedinellales		Pseudopedinella	Pseudopedinella elastica		
830f42aee66eb142de35d8aae25beb921ce5ecb5	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus		
9e8ebc3a91c96e8b74d89c05d1c8521e36114f85	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus		
67192877eedca08295d2a1f54cac447b8593e701	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus		
3a98ecbfbc4b86e982e5234592a40f036e7be850	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus		
2d2f548d08044f314ee8fa4ca5bc187e4922b21e	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus		
f353113c4faeab77f91d6f4e106efeea4dd987e2	Eukaryota	Ochrophyta	Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata		
92f928afb7738f95ce762fddd59d1a467c174513	Eukaryota	Ochrophyta	Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata		
99d0c9a7d790e0bb9cf77ee650ade4d376733997	Eukaryota	Ochrophyta	Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata		
8f7c1c8ee02123b22ee51aaacda0b51d058adaa5	Eukaryota	Ochrophyta	Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata		
6561834e9fb5db613017d627bb670884ebde0708	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
5f4bd146a6508fe43b56d46860de6e1a84b7cd48	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
4bbb20d6d36d871c2ea8b68ef6f3d5a72adb83cd	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
ed5f85fbb452560ea5faebb59d8ab86cd9871777	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
679114c2a7fd6c671522fcf7ded751d70ce45979	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
aa8039ec20431e32f8b1ccc1f1c03a761286561d	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
b8d67560c35cfc19442734ea72de3051b7b4d31a	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora onagawaensis		
0a790f3ba35b8dbeaad6b6f838733e7a4240a4e0	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida			Poecilostomatoida sp. 09PROBE-08068		
76fb95156614e4762f6e90fb0745e9dbbebee427	Eukaryota	Annelida	Polychaeta	Phyllodocida	Pholoidae	Pholoe	Pholoe baltica		
f57cda2fc0d969f97ef2bcb42369dce1e9f9a44f	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa		
f601b108dab0f1a3f521ef95a3f6715466ae5265	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa		
e901af9f0ec2342586fe58001be0bd739fc98f12	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa		
5c9d2157bf5d10d60d984dddfe2d1d7252b972b8	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa		
b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
21ee7974a32d2471f9cc374d2b5f7dd5cd007175	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
5bb7cfe6d0d80ccf75b4110ddf2f6bb83a59d8c2	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
3765360b31fcb53c7364b3e8a1819d1da349fc37	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
999a3a1dd2d6d3065c2d02b5b86542b4cce6b910	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
638f471817d9db98d8ae44b79cefae71c368644a	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
c21abc5ceaae24b0bab7554ae8da9f33e45ff5c5	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
3ae1b0383484dc25c5814165eb4fc36256f24896	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
232782c8a0b137e94e7b3908122b7b5ba67cb42b	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
af161d812696bb621d92da576277169caacb651a	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
8e52e602ae4b6f46e9b8bf6b3b7509c28c73d27a	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
cc07a9725381a7889f6dd1be327ec254461bcc24	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
5dd8c8f3e04d3c8999df515e686e7811ba5294ce	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
18e7bc5bf53c82b588046ae6ac5162b955ff5dcc	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
611ac4ddf788e9f446760fa9c7ee77139a0ccfdd	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
4819f4ae219a7f3553bf247ff2864f78cf238583	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
dbba973e00fa7b5cff6efff64a96ca24f881a7c1	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
81f47d25a6516a060e81503b5c9468873b8b915a	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
3403dd82654236c8207fac66e740baddd3d91a83	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
e8d0521fc7c26d8409ecefb608c6a21e15fb80cf	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica		
