Sample_name,Locus,Hash,nReads
COI-A-June-4-L2,COI,6d24d909ff0aed0b1881f2136f6601fff22de257,4987
COI-A-June-4-L2,COI,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,5968
COI-A-June-4-L2,COI,8a30c41944f6b5528eedf830898c6b91efdfddba,620
COI-A-June-4-L2,COI,0d21860fc8109cdb8344c87fdaecf0d29e897000,1286
COI-A-June-4-L2,COI,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,401
COI-A-June-4-L2,COI,a0bb966e2b254f839fb8021c55a8554c41c7133e,887
COI-A-June-4-L2,COI,114c5ac9afd9fbeaf32d1b21e8e46ff639956815,895
COI-A-June-4-L2,COI,345ddc66de3ba61791aa5ac285b67ed77faac551,855
COI-A-June-4-L2,COI,eb57aeebff7e49a0b8c16431af9d6e5e28f7513c,895
COI-A-June-4-L2,COI,b307d5319db845d0457511472d50899c5c6cbc8d,582
COI-A-June-4-L2,COI,59e212ad3eca806af9b90911ca67bf89c434fe44,677
COI-A-June-4-L2,COI,6eda3f856e9f197357213c0e995bab201bf6ea60,361
COI-A-June-4-L2,COI,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,164
COI-A-June-4-L2,COI,b9e82298bdb5889cf6a09180286d947d8f73f522,262
COI-A-June-4-L2,COI,7e4b2040e866c149f1ed8a68e19f9ced2399c1b6,442
COI-A-June-4-L2,COI,d555cfaa6dca8e689d35c5f91996deee29e7fd91,366
COI-A-June-4-L2,COI,10462d5d1b25c35349da89a4c45170857789db89,448
COI-A-June-4-L2,COI,d967f29143359c3075ed23346e5b00028fea4c6a,233
COI-A-June-4-L2,COI,52597cc48f200e52230e4dafbac88174a71d6f48,289
COI-A-June-4-L2,COI,21ee7974a32d2471f9cc374d2b5f7dd5cd007175,463
COI-A-June-4-L2,COI,2acf3895af7dfb308c9d9af13fa6acd91d2c0cd4,202
COI-A-June-4-L2,COI,822e3312b1f9e67583b2c548a1c1ea062edf7078,230
COI-A-June-4-L2,COI,3f2a4515bc8095b441f05f86bdb924d1c57807ab,69
COI-A-June-4-L2,COI,a40ef29331598e271eef6563e5946441f0a331ed,198
COI-A-June-4-L2,COI,670981d8cd1b365281070933302b4d91c777f91b,162
COI-A-June-4-L2,COI,12a5b1a4aa8aa927757451ee264e2ac70a6236c4,144
COI-A-June-4-L2,COI,b81c46025956944d1a86ee62411dd97631b6f31c,132
COI-A-June-4-L2,COI,9a4d1b81f1be7881500444e7f6cb63455cd0d2ff,144
COI-A-June-4-L2,COI,7bbcba00835bf56eded210f4f445f3fc5a7ab6d5,63
COI-A-June-4-L2,COI,3e09083693f125dd6945c5760931e08660521440,19
COI-A-June-4-L2,COI,52d7c16462d0e940280f4fc0a721cd8957ac891d,66
COI-A-June-4-L2,COI,c68155c20b0fa5764fa8f131b1c826eebbb9b1bc,31
COI-A-June-4-L2,COI,bffda665efd96013f6ec5d10dba9ca53bb8ae5de,55
COI-A-June-4-L2,COI,cb1cc52d9f95250899cee4f8072277fe274287a8,109
COI-A-June-4-L2,COI,7be9b1e29a01bbf1b1fce56f741c9042cc39bdf7,109
COI-A-June-4-L2,COI,8dfe581172dea3311a935cb0a92b0fe6b0b6c919,162
COI-A-June-4-L2,COI,e64f574c4605dc812aceebd1d2a7d4607f42bd4d,175
COI-A-June-4-L2,COI,2c15e1a59dcccefb5a36c0650609e87529ab0725,33
COI-A-June-4-L2,COI,913bd86c3638ee2b616020e99a80420b229b822a,105
COI-A-June-4-L2,COI,d48c67607e81aca5da83fa1d2b8895e6416a6607,37
COI-A-June-4-L2,COI,0c532b6051db94c88eeba19f3c81721d93e54fac,28
COI-A-June-4-L2,COI,226fac6b9a878e236c669ef46122c4be62ad95ac,59
COI-A-June-4-L2,COI,252339104f42cd440e247a39bc4f04eecc6492e7,19
COI-A-June-4-L2,COI,5b9eedf41112d5c49db5ae68687d4ddbbdc7f09a,14
COI-A-June-4-L2,COI,11a112ced1c85e620f6d97d82281a1bb58614e67,19
COI-A-June-4-L2,COI,a1759ceb098c8c0ca5bbaee3e0b5437bb08d86db,44
COI-A-June-4-L2,COI,adcca6d32d0070fd5d63075d79551b05151c3cc7,110
COI-A-June-4-L2,COI,8aee230840b2b9ef34ec2cb22adf0fc601fcbe8d,37
COI-A-June-4-L2,COI,d7d8167a56aa3a01535f81367d0b0caf6c48e3b7,8
COI-A-June-4-L2,COI,5bb7cfe6d0d80ccf75b4110ddf2f6bb83a59d8c2,79
COI-A-June-4-L2,COI,4c7fb49d2f3a51b2865db5bbcc9fb9971992bab9,39
COI-A-June-4-L2,COI,21339049f9f2dbbe4bd1a551573819232612257c,40
COI-A-June-4-L2,COI,b73323405bffb269ab58a8cc37d3d10817c0aaa2,21
COI-A-June-4-L2,COI,77bdf39167ea91b04a63e2a9551d8b699b99e8b5,31
COI-A-June-4-L2,COI,3aee4b429c01889e05c2445bcb9649cb78a4c5d0,30
COI-A-June-4-L2,COI,8808b2ce3cbf03a499f088ef749a6e26b92eda1b,75
COI-A-June-4-L2,COI,d8ed22edb9b4c9c2eccdde41cecb635458209e93,7
