Site;depth;year;week;date;sal;temp;PAR [繕mol m-2 s-1];Kd;mean_pH;std_pH;mean_alka;std_alk;chla;pheo;NO2 (然/L);NO3 (然/L);SiOH4 (然/L);PO4 (然/L);data_origine;
Bloomstrand_Est;0;2006;23;;30;3.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;0;2006;24;;33;2.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;0;2014;36;;33.22915584415585;4.603036904761905;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;1;2009;31;;31.9411682454755;3.8952;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;1;2014;36;;33.48;4.679666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;2;2009;31;;32.288456299334115;3.9238;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;2;2014;36;;33.6025;4.83225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;3;2009;31;;32.42982792610701;3.9508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;3;2014;36;;33.72;4.963666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;4;2009;31;;32.5361852201942;3.9701;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;4;2014;36;;33.9;5.08275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;4;2018;40;;32.5494;1.232825;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;5;2009;31;;32.805507356795665;3.9562;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;5;2014;36;;33.95;5.143666666666666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;6;2009;31;;32.98340038939714;4.02255;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;6;2014;36;;34.019999999999996;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;7;2009;31;;33.20057779525575;3.8726000000000003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;7;2014;36;;34.07;5.1745;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;8;2009;31;;33.26483751288579;3.82705;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
French_Bird_Cliff;8;2014;36;;34.085;5.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
Glacier;0;2016;30;;NA;4.209333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
Glacier;0;2016;31;;NA;3.971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
Glacier;1;2009;31;;30.614285308953267;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Robert compilation;
