"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"6eda3f856e9f197357213c0e995bab201bf6ea60","   2842","Skeletonema","genus","1.0000","","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema",""
"12a5b1a4aa8aa927757451ee264e2ac70a6236c4","   2842","Skeletonema","genus","1.0000","","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema",""
"bffda665efd96013f6ec5d10dba9ca53bb8ae5de","   6833","Calanoida","order","0.8151","Metazoa","Arthropoda","Hexanauplia","Calanoida","","",""
"a1759ceb098c8c0ca5bbaee3e0b5437bb08d86db","1365474","Stephanodiscaceae","family","1.0000","","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","",""
"937300c8458f4efb449dd6f46c5ede7d767b8d36","  35052","Ophiopholis aculeata","species",NA,"Metazoa","Echinodermata","Ophiuroidea","Ophiurida","Ophiactidae","Ophiopholis","Ophiopholis aculeata"
"830f42aee66eb142de35d8aae25beb921ce5ecb5"," 148993","Pseudocalanus minutus","species",NA,"Metazoa","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Pseudocalanus","Pseudocalanus minutus"
"83028e3732d03da59423374a994b3d821e9f46ec"," 324873","Oithona similis","species",NA,"Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"c2d2b7708a34aa9cdc001b6564f95afdf7a86fdc","   7664","Strongylocentrotus","genus",NA,"Metazoa","Echinodermata","Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus",""
"ded57d102cf711fee8eae661df3d61ea9064e5a7","  35051","Ophiopholis","genus",NA,"Metazoa","Echinodermata","Ophiuroidea","Ophiurida","Ophiactidae","Ophiopholis",""
"d602aed22496dbbba5a5fb22ac6bdb4c2651e4c8"," 116167","Sessilia","order","1.0000","Metazoa","Arthropoda","Hexanauplia","Sessilia","","",""
"fc8f793d800dde3031001268a9a070cba9ff5e70"," 136190","Oithona","genus","1.0000","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona",""
