"","Hash","ssciname","tax.db","tax.query","tax.species","tax.genus","tax.family","tax.order","tax.class","tax.phylum"
"1","301f7b59a3099ce58a8a57dea555a2ef01fe269c","Acrosiphonia",ncbi,Acrosiphonia,NA,Acrosiphonia,Ulotrichaceae,Ulotrichales,Ulvophyceae,Chlorophyta
"2","7a0a128e94ff4995756c16bfeb84ca981364b459","Acrosiphonia",ncbi,Acrosiphonia,NA,Acrosiphonia,Ulotrichaceae,Ulotrichales,Ulvophyceae,Chlorophyta
"3","16e5088af41795c761db7d5bd551702927e69f06","Amphitrite cirrata",ncbi,Amphitrite cirrata,Amphitrite cirrata,Amphitrite,Terebellidae,Terebellida,Polychaeta,Annelida
"4","0c8bea6c17bb912b9e8f7fc92577d3f99997e7a8","Annectocyma tubulosa",ncbi,Annectocyma tubulosa,Annectocyma tubulosa,Annectocyma,Annectocymidae,Cyclostomatida,Stenolaemata,Bryozoa
"5","a4405e36d3ff3128c47224b99a8dc2b31b710f00","Apodida",ncbi,Apodida,NA,NA,NA,Apodida,Holothuroidea,Echinodermata
"6","fd4f28fdef1f3758fdcfc0bde69528de3d4c8d30","Arenicola marina",ncbi,Arenicola marina,Arenicola marina,Arenicola,Arenicolidae,NA,Polychaeta,Annelida
"7","488eff1d6ce77317928f6f9ca19eb5da3674e140","Arthropoda",ncbi,Arthropoda,NA,NA,NA,NA,NA,Arthropoda
"8","721074241423cc18a3d6a088e068ae99063586d9","Ascidiidae",ncbi,Ascidiidae,NA,NA,Ascidiidae,Phlebobranchia,Ascidiacea,Chordata
"9","bff3cb719101398611814c1e0e3f6bdd01b3774f","Callopora",ncbi,Callopora,NA,Callopora,Calloporidae,Cheilostomatida,Gymnolaemata,Bryozoa
"10","0b6ad1199011f322d2448acb66088291f005d32a","Camarodonta",ncbi,Camarodonta,NA,NA,NA,Camarodonta,Echinoidea,Echinodermata
"11","5bbe36bfed105fb2041e4764b3a5fafd42a9ec4e","Capitella",ncbi,Capitella,NA,Capitella,Capitellidae,NA,Polychaeta,Annelida
"12","2600b53937ea3074fc160d84943936d1c2b9e77b","Celleporella",ncbi,Celleporella,NA,Celleporella,Hippothoidae,Cheilostomatida,Gymnolaemata,Bryozoa
"13","e9e5ebcc9ece621a9829712967758162bf4ba421","Chitinopoma serrula",ncbi,Chitinopoma serrula,Chitinopoma serrula,Chitinopoma,Serpulidae,Sabellida,Polychaeta,Annelida
"14","208fde7ed5eb8ff8eb4d06311031d4b73a811c22","Chlorophyceae",ncbi,Chlorophyceae,NA,NA,NA,NA,Chlorophyceae,Chlorophyta
"15","4693b97b6e7d29c014a4269d913f5cc3f5407bef","Chlorophyta",ncbi,Chlorophyta,NA,NA,NA,NA,NA,Chlorophyta
"16","bb5866a6ff2a9cb57702a7f714249deba9a738a0","Chordariaceae",ncbi,Chordariaceae,NA,NA,Chordariaceae,Ectocarpales,Phaeophyceae,Ochrophyta
"17","ae04860decd8948e4259426cf85f857593c2def0","Chordariaceae",ncbi,Chordariaceae,NA,NA,Chordariaceae,Ectocarpales,Phaeophyceae,Ochrophyta
"18","029734d088412fc519daba417d74120928d84b59","Chordariaceae",ncbi,Chordariaceae,NA,NA,Chordariaceae,Ectocarpales,Phaeophyceae,Ochrophyta
"19","2e61658f86c05e053648191138df66e50803de98","Chthamalus fragilis",ncbi,Chthamalus fragilis,Chthamalus fragilis,Chthamalus,Chthamalidae,Balanomorpha,Thecostraca,Arthropoda
"20","68330ee0ec741d130433b5d8c54ff6608b017e5b","Corbula",ncbi,Corbula,NA,Corbula,Corbulidae,Myida,Bivalvia,Mollusca
"21","75a5d1ac5ce4506207261d6f7d236bdb871abd04","Crisia eburnea",ncbi,Crisia eburnea,Crisia eburnea,Crisia,Crisiidae,Cyclostomatida,Stenolaemata,Bryozoa
"22","7542f6799c9cca8920c32e9c877bd39db2d3f410","Crisia eburnea",ncbi,Crisia eburnea,Crisia eburnea,Crisia,Crisiidae,Cyclostomatida,Stenolaemata,Bryozoa
"23","59c11ac62a47b794386132681a19d74a31141225","Dendrodoa grossularia",ncbi,Dendrodoa grossularia,Dendrodoa grossularia,Dendrodoa,Styelidae,Stolidobranchia,Ascidiacea,Chordata
"24","6f31e68f8d2e12a313d8ca22c0e5a845b73fb1bb","Desmarestia",ncbi,Desmarestia,NA,Desmarestia,Desmarestiaceae,Desmarestiales,Phaeophyceae,Ochrophyta
"25","fc8dbc1a88b944c8a050ba9d0f1f32d085ef6f4f","Desmarestia",ncbi,Desmarestia,NA,Desmarestia,Desmarestiaceae,Desmarestiales,Phaeophyceae,Ochrophyta
"26","3bfbe769f56292fb8e7df3bed1bb9499fccae52e","Devaleraea",ncbi,Devaleraea,NA,Devaleraea,Palmariaceae,Palmariales,Florideophyceae,Rhodophyta
"27","c7869eb0110a16a4338ba0da852d05e7294de707","Devaleraea",ncbi,Devaleraea,NA,Devaleraea,Palmariaceae,Palmariales,Florideophyceae,Rhodophyta
"28","1e007d1f6231909b4e11f7536841cca6848b06db","Devaleraea",ncbi,Devaleraea,NA,Devaleraea,Palmariaceae,Palmariales,Florideophyceae,Rhodophyta
"29","2ca2b1cfd4fe10483ac2e64df2de32b64b8b0133","maldanidae",ncbi,maldanidae,NA,NA,Maldanidae,NA,Polychaeta,Annelida
"30","e7cdfecbc42c13d512c236b2f81767048f74d1f7","Eucratea loricata",ncbi,Eucratea loricata,Eucratea loricata,Eucratea,Scrupariidae,Cheilostomatida,Gymnolaemata,Bryozoa
"31","76f84a92599c4b2a6fc1c59cea484232b3289d88","Eudendrium racemosum",ncbi,Eudendrium racemosum,Eudendrium racemosum,Eudendrium,Eudendriidae,Anthoathecata,Hydrozoa,Cnidaria
"32","76b15a4926795a4a3babc5809a89947f3b145ac6","Eudendrium racemosum",ncbi,Eudendrium racemosum,Eudendrium racemosum,Eudendrium,Eudendriidae,Anthoathecata,Hydrozoa,Cnidaria
"33","fe3804e9f6273ec9b4796cf23563946ec1bab601","Euphausiidae",ncbi,Euphausiidae,NA,NA,Euphausiidae,Euphausiacea,Malacostraca,Arthropoda
"34","1366543a31c8d5d6a9a3b870e6d004cc43416805","Euphausiidae",ncbi,Euphausiidae,NA,NA,Euphausiidae,Euphausiacea,Malacostraca,Arthropoda
"35","7ba528e1f15b64ebeee9ca8ab09179963746d84d","Euterpina acutifrons",ncbi,Euterpina acutifrons,Euterpina acutifrons,Euterpina,Euterpinidae,Harpacticoida,Hexanauplia,Arthropoda
