Hash;Primer;Domain;Phylym;Class;Order;Family;Genus;Species
301f7b59a3099ce58a8a57dea555a2ef01fe269c;18S;Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia;NA
7a0a128e94ff4995756c16bfeb84ca981364b459;18S;Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia;NA
16e5088af41795c761db7d5bd551702927e69f06;18S;Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Amphitrite;Amphitrite cirrata
0c8bea6c17bb912b9e8f7fc92577d3f99997e7a8;18S;Eukaryota;Bryozoa;Stenolaemata;Cyclostomatida;Annectocymidae;Annectocyma;Annectocyma tubulosa
a4405e36d3ff3128c47224b99a8dc2b31b710f00;18S;Eukaryota;Echinodermata;Holothuroidea;Apodida;NA;NA;NA
fd4f28fdef1f3758fdcfc0bde69528de3d4c8d30;18S;Eukaryota;Annelida;Polychaeta;NA;Arenicolidae;Arenicola;Arenicola marina
488eff1d6ce77317928f6f9ca19eb5da3674e140;18S;Eukaryota;Arthropoda;NA;NA;NA;NA;NA
721074241423cc18a3d6a088e068ae99063586d9;18S;Eukaryota;Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;NA;NA
bff3cb719101398611814c1e0e3f6bdd01b3774f;18S;Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Calloporidae;Callopora;NA
0b6ad1199011f322d2448acb66088291f005d32a;18S;Eukaryota;Echinodermata;Echinoidea;Camarodonta;NA;NA;NA
5bbe36bfed105fb2041e4764b3a5fafd42a9ec4e;18S;Eukaryota;Annelida;Polychaeta;NA;Capitellidae;Capitella;NA
2600b53937ea3074fc160d84943936d1c2b9e77b;18S;Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Hippothoidae;Celleporella;NA
e9e5ebcc9ece621a9829712967758162bf4ba421;18S;Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Chitinopoma;Chitinopoma serrula
208fde7ed5eb8ff8eb4d06311031d4b73a811c22;18S;Eukaryota;Chlorophyta;Chlorophyceae;NA;NA;NA;NA
4693b97b6e7d29c014a4269d913f5cc3f5407bef;18S;Eukaryota;Chlorophyta;NA;NA;NA;NA;NA
bb5866a6ff2a9cb57702a7f714249deba9a738a0;18S;Eukaryota;Ochrophyta;Phaeophyceae;Ectocarpales;Chordariaceae;NA;NA
ae04860decd8948e4259426cf85f857593c2def0;18S;Eukaryota;Ochrophyta;Phaeophyceae;Ectocarpales;Chordariaceae;NA;NA
029734d088412fc519daba417d74120928d84b59;18S;Eukaryota;Ochrophyta;Phaeophyceae;Ectocarpales;Chordariaceae;NA;NA
2e61658f86c05e053648191138df66e50803de98;18S;Eukaryota;Arthropoda;Thecostraca;Balanomorpha;Chthamalidae;Chthamalus;Chthamalus fragilis
68330ee0ec741d130433b5d8c54ff6608b017e5b;18S;Eukaryota;Mollusca;Bivalvia;Myida;Corbulidae;Corbula;NA
75a5d1ac5ce4506207261d6f7d236bdb871abd04;18S;Eukaryota;Bryozoa;Stenolaemata;Cyclostomatida;Crisiidae;Crisia;Crisia eburnea
7542f6799c9cca8920c32e9c877bd39db2d3f410;18S;Eukaryota;Bryozoa;Stenolaemata;Cyclostomatida;Crisiidae;Crisia;Crisia eburnea
59c11ac62a47b794386132681a19d74a31141225;18S;Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Dendrodoa;Dendrodoa grossularia
6f31e68f8d2e12a313d8ca22c0e5a845b73fb1bb;18S;Eukaryota;Ochrophyta;Phaeophyceae;Desmarestiales;Desmarestiaceae;Desmarestia;NA
fc8dbc1a88b944c8a050ba9d0f1f32d085ef6f4f;18S;Eukaryota;Ochrophyta;Phaeophyceae;Desmarestiales;Desmarestiaceae;Desmarestia;NA
3bfbe769f56292fb8e7df3bed1bb9499fccae52e;18S;Eukaryota;Rhodophyta;Florideophyceae;Palmariales;Palmariaceae;Devaleraea;NA
c7869eb0110a16a4338ba0da852d05e7294de707;18S;Eukaryota;Rhodophyta;Florideophyceae;Palmariales;Palmariaceae;Devaleraea;NA
1e007d1f6231909b4e11f7536841cca6848b06db;18S;Eukaryota;Rhodophyta;Florideophyceae;Palmariales;Palmariaceae;Devaleraea;NA
2ca2b1cfd4fe10483ac2e64df2de32b64b8b0133;18S;Eukaryota;Annelida;Polychaeta;NA;Maldanidae;NA;NA
e7cdfecbc42c13d512c236b2f81767048f74d1f7;18S;Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Scrupariidae;Eucratea;Eucratea loricata
76f84a92599c4b2a6fc1c59cea484232b3289d88;18S;Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Eudendriidae;Eudendrium;Eudendrium racemosum
76b15a4926795a4a3babc5809a89947f3b145ac6;18S;Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Eudendriidae;Eudendrium;Eudendrium racemosum
fe3804e9f6273ec9b4796cf23563946ec1bab601;18S;Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;NA;NA
1366543a31c8d5d6a9a3b870e6d004cc43416805;18S;Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;NA;NA
7ba528e1f15b64ebeee9ca8ab09179963746d84d;18S;Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Euterpinidae;Euterpina;Euterpina acutifrons
082cc4961d0b78bba541a6ea5d664c007e08fa7d;18S;Eukaryota;Porifera;Demospongiae;Suberitida;Halichondriidae;Halichondria;NA
14d724f75c629f77cd71b342199adcdc1b7791c5;18S;Eukaryota;Porifera;Demospongiae;Suberitida;Halichondriidae;Halichondria;NA
